Key,Abbreviated,Format,Control,Multiplier
X1MInE_ArgType_N_Max,X1MInE_ArgType_N_Max,,1,1
X1MInE_ArgType_N_Min,X1MInE_ArgType_N_Min,,1,1
X1MInE_ArgType_N_StdDev,X1MInE_ArgType_N_StdDev,,0,1
X1MInE_ArgType_N_Median,X1MInE_ArgType_N_Median,,1,1
X1MInE_ArgType_N_Mean,X1MInE_ArgType_N_Mean,,1,1
X1MInE_ArgType_N_Threshold,X1MInE_ArgType_N_Threshold,,1,1
1MInE_RetType,1MInE_RetType,,1,1
X1MInE_RetType_N_N,X1MInE_RetType_N_N,,1,1
X1MInE_RetType_N_Max,X1MInE_RetType_N_Max,,1,1
X1MInE_RetType_N_Min,X1MInE_RetType_N_Min,,1,1
X1MInE_RetType_N_StdDev,X1MInE_RetType_N_StdDev,,0,1
X1MInE_RetType_N_Median,X1MInE_RetType_N_Median,,1,1
X1MInE_RetType_N_Mean,X1MInE_RetType_N_Mean,,1,1
X1MInE_RetType_N_Threshold,X1MInE_RetType_N_Threshold,,1,1
1FRnE,1FRnE,,1,1
X1FRnE_N_N,X1FRnE_N_N,,1,1
X1FRnE_N_Max,X1FRnE_N_Max,,1,1
X1FRnE_N_Min,X1FRnE_N_Min,,1,1
X1FRnE_N_StdDev,X1FRnE_N_StdDev,,0,1
X1FRnE_N_Median,X1FRnE_N_Median,,1,1
X1FRnE_N_Mean,X1FRnE_N_Mean,,1,1
X1FRnE_N_Threshold,X1FRnE_N_Threshold,,1,1
1FRnE_RecType,1FRnE_RecType,,1,1
X1FRnE_RecType_N_N,X1FRnE_RecType_N_N,,1,1
X1FRnE_RecType_N_Max,X1FRnE_RecType_N_Max,,1,1
X1FRnE_RecType_N_Min,X1FRnE_RecType_N_Min,,1,1
X1FRnE_RecType_N_StdDev,X1FRnE_RecType_N_StdDev,,0,1
X1FRnE_RecType_N_Median,X1FRnE_RecType_N_Median,,1,1
X1FRnE_RecType_N_Mean,X1FRnE_RecType_N_Mean,,1,1
X1FRnE_RecType_N_Threshold,X1FRnE_RecType_N_Threshold,,1,1
1FWnE,1FWnE,,1,1
X1FWnE_N_N,X1FWnE_N_N,,1,1
X1FWnE_N_Max,X1FWnE_N_Max,,1,1
X1FWnE_N_Min,X1FWnE_N_Min,,1,1
X1FWnE_N_StdDev,X1FWnE_N_StdDev,,0,1
X1FWnE_N_Median,X1FWnE_N_Median,,1,1
X1FWnE_N_Mean,X1FWnE_N_Mean,,1,1
X1FWnE_N_Threshold,X1FWnE_N_Threshold,,1,1
1FWnE_RecType,1FWnE_RecType,,1,1
X1FWnE_RecType_N_N,X1FWnE_RecType_N_N,,1,1
X1FWnE_RecType_N_Max,X1FWnE_RecType_N_Max,,1,1
X1FWnE_RecType_N_Min,X1FWnE_RecType_N_Min,,1,1
X1FWnE_RecType_N_StdDev,X1FWnE_RecType_N_StdDev,,0,1
X1FWnE_RecType_N_Median,X1FWnE_RecType_N_Median,,1,1
X1FWnE_RecType_N_Mean,X1FWnE_RecType_N_Mean,,1,1
X1FWnE_RecType_N_Threshold,X1FWnE_RecType_N_Threshold,,1,1
